lambda,Psi,Delta,T,R,n_S,k_S
645,16.37987639463896,51.351274625467624,0.296061963224053,0.7039380367759472,4.1718,0.3815
648,15.95433727786204,48.903697651542956,0.2949196875568304,0.70508031244317,4.1656,0.373
651,15.552364406758393,46.433915454089394,0.2939411414218054,0.7060588585781948,4.1594,0.3648
654,15.158335169010256,43.81631623552039,0.29304749361753474,0.7069525063824657,4.1533,0.3566
657,14.78915057199056,41.17990077356837,0.29230877128855737,0.7076912287114433,4.1471,0.3487
660,14.431486531643143,38.39183628326789,0.2916512246506046,0.7083487753493956,4.141,0.3409
663,14.100746783432939,35.58252341672244,0.2911239551857433,0.7088760448142566,4.135,0.3332
666,13.784136180243891,32.62419219426087,0.29068724245937494,0.709312757540625,4.1289,0.3257
669,13.496010661507372,29.65317230136914,0.2903685932125727,0.7096314067874276,4.1229,0.3183
672,13.225848565321417,26.53428284351482,0.29013251364550097,0.7098674863544998,4.1169,0.3111
675,12.9853868825599,23.41632204260491,0.2900033708555723,0.7099966291444278,4.111,0.304
678,12.765718418060697,20.156254763840973,0.28995639619811386,0.7100436038018864,4.1051,0.297
681,12.576034350650295,16.919947167680462,0.2900115975141738,0.7099884024858262,4.0992,0.2902
684,12.409790895104686,13.556357540971712,0.29014828409095383,0.7098517159090463,4.0933,0.2835
687,12.27382464726342,10.236193216200919,0.2903724273789927,0.7096275726210068,4.0875,0.2769
690,12.164744432423783,6.8954991278949676,0.2906788157117566,0.7093211842882435,4.0817,0.2705
693,12.081817886573518,3.4604755052299425,0.29106644671583626,0.708933553284164,4.0759,0.2642
696,12.027381959156315,0.1094415499815346,0.29152888631167173,0.7084711136883284,4.0702,0.258
699,11.999890416464142,-3.3095073524555403,0.2920728824675643,0.7079271175324356,4.0645,0.2519
702,11.997930786594315,-6.6175731318317785,0.2926903183323358,0.7073096816676645,4.0588,0.2459
705,12.021508091090592,-9.882584516265254,0.2933743959494456,0.7066256040505547,4.0532,0.2401
708,12.071542909543139,-13.179869812191027,0.29414212128576733,0.7058578787142321,4.0476,0.2343
711,12.142309477163336,-16.331217573854676,0.2949716538832727,0.7050283461167275,4.042,0.2287
714,12.239014148726241,-19.48927975806865,0.29587837529099387,0.7041216247090061,4.0365,0.2232
717,12.352776440925958,-22.494436365074886,0.29684270653998096,0.7031572934600192,4.031,0.2177
720,12.485287262845524,-25.41301291931487,0.29787307611668656,0.7021269238833135,4.0255,0.2124
723,12.641109355530002,-28.31434975318499,0.29898250933254283,0.7010174906674572,4.0201,0.2072
726,12.807462771837475,-31.052416919532778,0.30014580822270076,0.6998541917772998,4.0146,0.2021
729,12.989895970415583,-33.69950248177948,0.3013614748818078,0.6986385251181929,4.0093,0.197
732,13.191149415383608,-36.31519123236809,0.3026702072882254,0.6973297927117748,4.0039,0.1921
735,13.398877070699466,-38.77039126780243,0.30401146264915324,0.6959885373508472,3.9986,0.1873
738,13.617439814732583,-41.13629170280817,0.30541542405815725,0.6945845759418429,3.9933,0.1825
741,13.85318709878672,-43.465500345488266,0.3069019767180333,0.6930980232819666,3.9881,0.1779
744,14.09040182961814,-45.64933763723786,0.30842127273955616,0.6915787272604441,3.9829,0.1733
747,14.334872819180363,-47.74738942957357,0.30999956106676113,0.6900004389332387,3.9777,0.1688
750,14.593965088904019,-49.81021255939809,0.31166327681901157,0.6883367231809885,3.9726,0.1645
753,14.851163118491089,-51.74490674655596,0.31335410839661443,0.6866458916033858,3.9675,0.1601
756,15.1126210985703,-53.60042028555494,0.3151003188646067,0.6848996811353936,3.9624,0.1559
759,15.386322365471287,-55.42816444496156,0.31694356360874426,0.6830564363912559,3.9573,0.1518
762,15.655673904118558,-57.139368871012564,0.31879866407188273,0.6812013359281176,3.9523,0.1477
765,15.9274820925483,-58.78346622458325,0.3207090865623844,0.6792909134376155,3.9473,0.1437
768,16.210534862170572,-60.403012103779076,0.32271325180357746,0.6772867481964226,3.9424,0.1398
771,16.48625306099348,-61.91940693945103,0.3247275564034577,0.6752724435965427,3.9375,0.136
774,16.763207196233182,-63.37984495828921,0.3267975921807473,0.673202407819253,3.9326,0.1322
777,17.040313067596447,-64.78299363907284,0.32891906060660137,0.6710809393933982,3.9277,0.1286
780,17.327456300299787,-66.1692812025876,0.33114114944124867,0.6688588505587516,3.9229,0.125
783,17.60575763253006,-67.47115275880815,0.3333668188778461,0.6666331811221546,3.9181,0.1214
786,17.883555604887757,-68.7253248579604,0.3356446784796502,0.6643553215203499,3.9133,0.1179
789,18.170230664779485,-69.96417439030783,0.3380251082582503,0.66197489174175,3.9086,0.1145
792,18.44681626664648,-71.12738134114791,0.3404006829614831,0.6595993170385174,3.9039,0.1112
795,18.722198665121226,-72.24944991545759,0.3428272258386662,0.6571727741613342,3.8992,0.108
798,18.99709519654304,-73.3327863314171,0.3452994605476263,0.6547005394523745,3.8946,0.1048
801,19.27996807477821,-74.40745581607499,0.3478892110772429,0.6521107889227575,3.89,0.1016
804,19.552052424391285,-75.41824763635681,0.35046586158271503,0.6495341384172852,3.8854,0.0985
807,19.82287605934331,-76.39370378826418,0.35308483140865493,0.6469151685913451,3.8809,0.0955
810,20.09133568362393,-77.33772197922687,0.35576045588639826,0.6442395441136015,3.8763,0.0926
813,20.36833324877674,-78.273331455365,0.3585446622043802,0.6414553377956201,3.8719,0.0897
816,20.633723239229003,-79.15582255707068,0.36131484617868753,0.6386851538213131,3.8674,0.0869
819,20.897938488166115,-80.01003051074113,0.3641286006365758,0.6358713993634245,3.863,0.0841
822,21.160067961676212,-80.83680817763455,0.36699040139720585,0.6330095986027955,3.8586,0.0814
825,21.429116248657955,-81.65786741250146,0.3699788047687076,0.630021195231293,3.8542,0.0788
828,21.687852860341405,-82.43267833185395,0.3729327159421216,0.6270672840578788,3.8499,0.0762
831,21.944841613283923,-83.18460824408757,0.37593666055286706,0.6240633394471335,3.8456,0.0736
834,22.199309550719715,-83.91187289527316,0.3789843927843723,0.6210156072156289,3.8413,0.0712
837,22.46184292384986,-84.63620910057894,0.382162971070596,0.6178370289294052,3.8371,0.0687
840,22.71290668137427,-85.31909721552846,0.38530029007507854,0.6146997099249228,3.8329,0.0664
843,22.962662872929887,-85.98377085870767,0.3884897440079521,0.6115102559920488,3.8287,0.064
846,23.20996751898708,-86.62713001434477,0.3917214394894093,0.6082785605105913,3.8245,0.0618
849,23.464949944671297,-87.26695503015992,0.3950868678496815,0.6049131321503187,3.8204,0.0596
852,23.70944315650162,-87.87318178128882,0.39840901123676487,0.601590988763235,3.8163,0.0574
855,23.95198164247024,-88.46138799238605,0.4017755795673827,0.5982244204326178,3.8122,0.0553
858,24.193441072298096,-89.03230642211173,0.4051817698778307,0.5948182301221696,3.8082,0.0532
861,24.433031541856963,-89.58638586247166,0.4086316148799992,0.5913683851200021,3.8042,0.0512
864,24.679980497771293,-90.13838010741418,0.41223064259434145,0.587769357405659,3.8002,0.0492
867,24.916795883833288,-90.66002549262012,0.4157640716191013,0.5842359283808988,3.7963,0.0473
870,25.151867538041202,-91.16855248373803,0.4193518552630501,0.580648144736951,3.7923,0.0454
873,25.385708233664136,-91.66124368890064,0.4229736233907737,0.5770263766092267,3.7884,0.0436
876,25.61876441243173,-92.13964883795397,0.42663282204331665,0.5733671779566835,3.7846,0.0418
